"Reporting.Year" "County" "Agency.Name" "Agency.Report.Number" "Rec.Seq.Nbr" "Report.Date" "Victim.Age" "Victim.Sex" "Victim.Race" "Offender.Age" "Offender.Sex" "Offender.Race" "Weapon.Type" "Justifiable.Circumstance" "Justifiable.Code" "Situation.Code" "Victim.Relationship" "Circumstance.Code"
"1997" "Charlotte" "Charlotte County Sheriffs Office,97026399,1,4/7/1997,25,M-MALE,W-WHITE,36,M-MALE,W-WHITE,5-KNIFE/CUTTING INSTR,1-NOT APPLICABLE,1-NOT APPLICABLE,D-MULTIPLE VICTIMS / SINGLE OFFENDER,Z-OTHER,U-UNKNOWN
1997,Charlotte,Charlotte County Sheriffs Office" "97026399" 2 "4/7/1997" "26" "F-FEMALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "Z-OTHER" ""
"1997" "Collier" "Collier County Sheriffs Office,44069-97,1,4/23/1997,26,M-MALE,W-WHITE,26,M-MALE,W-WHITE,4-FIREARM,1-NOT APPLICABLE,1-NOT APPLICABLE,D-MULTIPLE VICTIMS / SINGLE OFFENDER,Z-OTHER,L-LOVERS QUARREL
1997,Collier,Collier County Sheriffs Office" "44069-97" 2 "4/23/1997" "18" "F-FEMALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "S-SPOUSE" ""
"1997" "Collier" "Collier County Sheriffs Office,50862-97,1,5/11/1997,3,M-MALE,W-WHITE,36,M-MALE,W-WHITE,4-FIREARM,1-NOT APPLICABLE,1-NOT APPLICABLE,D-MULTIPLE VICTIMS / SINGLE OFFENDER,C-CHILD,U-UNKNOWN
1997,Collier,Collier County Sheriffs Office" "50862-97" 2 "5/11/1997" "27" "F-FEMALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "S-SPOUSE" ""
"1997" "Duval" "Jacksonville Sheriffs Office,97- 39672,1,1/17/1997,35,M-MALE,W-WHITE,25,M-MALE,W-WHITE,4-FIREARM,1-NOT APPLICABLE,1-NOT APPLICABLE,D-MULTIPLE VICTIMS / SINGLE OFFENDER,Z-OTHER,U-UNKNOWN
1997,Duval,Jacksonville Sheriffs Office" "97- 39672" 2 "1/17/1997" "25" "M-MALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "Z-OTHER" ""
"1997" "Hillsborough" "Hillsborough County Sheriffs Office,97069569,1,8/19/1997,30,F-FEMALE,W-WHITE,42,M-MALE,W-WHITE,7-HANDS/FIST/FEET,1-NOT APPLICABLE,1-NOT APPLICABLE,A-SINGLE VICTIM / SINGLE OFFENDER,Z-OTHER,U-UNKNOWN
1997,Hillsborough,Hillsborough County Sheriffs Office" "97080185" 1 "9/25/1997" "26" "M-MALE" "W-WHITE" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "F-MULTIPLE VICTIMS / UNKNOWN OFFENDER(S)" "Z-OTHER" "A-DRINKING ARGUMENT"
"1997" "Miami-Dade" "Miami Beach Police Department" "97-35260" 1 "10/16/1997" "30" "M-MALE" "W-WHITE" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "F-MULTIPLE VICTIMS / UNKNOWN OFFENDER(S)" "U-UNKNOWN" "U-UNKNOWN"
"1997" "Miami-Dade" "Miami Beach Police Department" "97-35260" 2 "10/16/1997" "18" "M-MALE" "W-WHITE" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "" "" "" "U-UNKNOWN" ""
"1997" "Miami-Dade" "Miami Police Department" "0211812W" 1 "1/21/1997" "26" "M-MALE" "B-BLACK" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "F-MULTIPLE VICTIMS / UNKNOWN OFFENDER(S)" "U-UNKNOWN" "D-DRUG RELATED ARGUMENT"
"1997" "Miami-Dade" "Miami Police Department" "0211812W" 2 "1/21/1997" "31" "M-MALE" "B-BLACK" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "" "" "" "U-UNKNOWN" ""
"1997" "Miami-Dade" "Miami Police Department" "0211812W" 3 "1/21/1997" "26" "M-MALE" "B-BLACK" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "" "" "" "U-UNKNOWN" ""
"1997" "Miami-Dade" "Miami Police Department" "0211812W" 4 "1/21/1997" "28" "M-MALE" "B-BLACK" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "" "" "" "U-UNKNOWN" ""
"1997" "Miami-Dade" "Miami Police Department" "0211812W" 5 "1/21/1997" "22" "M-MALE" "B-BLACK" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "" "" "" "U-UNKNOWN" ""
"1997" "Miami-Dade" "Miami Police Department" "1861210W" 1 "7/5/1997" "20" "M-MALE" "B-BLACK" "UK" "M-MALE" "B-BLACK" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "U-UNKNOWN" "U-UNKNOWN"
"1997" "Miami-Dade" "Miami Police Department" "1861210W" 2 "7/5/1997" "14" "M-MALE" "B-BLACK" "" "" "" "4-FIREARM" "" "" "" "U-UNKNOWN" ""
"1997" "Miami-Dade" "Miami Police Department" "2081993W" 1 "7/27/1997" "26" "F-FEMALE" "B-BLACK" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "F-MULTIPLE VICTIMS / UNKNOWN OFFENDER(S)" "U-UNKNOWN" "D-DRUG RELATED ARGUMENT"
"1997" "Miami-Dade" "Miami Police Department" "2081993W" 2 "7/27/1997" "44" "M-MALE" "B-BLACK" "" "" "" "4-FIREARM" "" "" "" "U-UNKNOWN" ""
"1997" "Miami-Dade" "Miami-Dade Police Department" "0025501T00" 1 "1/14/1997" "35" "M-MALE" "W-WHITE" "29" "M-MALE" "B-BLACK" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "Z-OTHER" "L-LOVERS QUARREL"
"1997" "Miami-Dade" "Miami-Dade Police Department" "0025501T00" 2 "1/14/1997" "36" "F-FEMALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "Z-OTHER" ""
"1997" "Miami-Dade" "Miami-Dade Police Department" "0216482T00" 1 "5/1/1997" "57" "M-MALE" "W-WHITE" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "F-MULTIPLE VICTIMS / UNKNOWN OFFENDER(S)" "Z-OTHER" "U-UNKNOWN"
"1997" "Miami-Dade" "Miami-Dade Police Department" "0216482T00" 2 "5/1/1997" "33" "M-MALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "Z-OTHER" ""
"1997" "Miami-Dade" "Miami-Dade Police Department" "0216482T00" 3 "5/1/1997" "55" "M-MALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "Z-OTHER" ""
"1997" "Miami-Dade" "Miami-Dade Police Department" "0461211T00" 1 "9/14/1997" "36" "F-FEMALE" "W-WHITE" "53" "M-MALE" "W-WHITE" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "Z-OTHER" "L-LOVERS QUARREL"
"1997" "Miami-Dade" "Miami-Dade Police Department" "0461211T00" 2 "9/14/1997" "10" "F-FEMALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "Z-OTHER" ""
"1997" "Miami-Dade" "Miami-Dade Police Department" "0461211T00" 3 "9/14/1997" "46" "M-MALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "Z-OTHER" ""
"1997" "Miami-Dade" "Miami-Dade Police Department" "0475958T00" 1 "9/23/1997" "23" "M-MALE" "B-BLACK" "62" "M-MALE" "W-WHITE" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "E-MULTIPLE VICTIMS / MULTIPLE OFFENDERS" "Z-OTHER" "F-OTHER FELONY INVOLVED"
"1997" "Miami-Dade" "Miami-Dade Police Department" "0475958T00" 2 "9/23/1997" "21" "M-MALE" "B-BLACK" "24" "M-MALE" "B-BLACK" "4-FIREARM" "" "" "" "Z-OTHER" ""
"1997" "Miami-Dade" "Miami-Dade Police Department" "0534095T00" 1 "10/27/1997" "53" "M-MALE" "B-BLACK" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "F-MULTIPLE VICTIMS / UNKNOWN OFFENDER(S)" "Z-OTHER" "U-UNKNOWN"
"1997" "Miami-Dade" "Miami-Dade Police Department" "0534095T00" 2 "10/27/1997" "60" "M-MALE" "B-BLACK" "" "" "" "4-FIREARM" "" "" "" "Z-OTHER" ""
"1997" "Palm Beach" "West Palm Beach Police Department" "199700020663" 1 "3/17/1997" "8" "M-MALE" "W-WHITE" "72" "M-MALE" "W-WHITE" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "C-CHILD" "Z-OTHER"
"1997" "Palm Beach" "West Palm Beach Police Department" "199700020663" 2 "3/17/1997" "49" "F-FEMALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "S-SPOUSE" ""
"1997" "Polk" "Polk County Sheriffs Office,970000051983,1,4/7/1997,22,F-FEMALE,W-WHITE,26,M-MALE,W-WHITE,4-FIREARM,1-NOT APPLICABLE,1-NOT APPLICABLE,F-MULTIPLE VICTIMS / UNKNOWN OFFENDER(S),H=CO-HABITANT,Z-OTHER
1997,Polk,Polk County Sheriffs Office" "970000051983" 2 "4/7/1997" "3" "M-MALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "C-CHILD" ""
"1997" "Volusia" "Volusia County Sheriffs Office,97-8073,1,3/16/1997,14,M-MALE,W-WHITE,66,M-MALE,W-WHITE,4-FIREARM,1-NOT APPLICABLE,1-NOT APPLICABLE,A-SINGLE VICTIM / SINGLE OFFENDER,U-UNKNOWN,U-UNKNOWN
1997,Wakulla,Wakulla County Sheriffs Office" "97072720" 1 "7/27/1997" "20" "F-FEMALE" "W-WHITE" "20" "M-MALE" "W-WHITE" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "E-MULTIPLE VICTIMS / MULTIPLE OFFENDERS" "U-UNKNOWN" "F-OTHER FELONY INVOLVED"
"1997" "Wakulla" "Wakulla County Sheriffs Office,97072720,2,7/27/1997,22,M-MALE,W-WHITE,20,M-MALE,W-WHITE,4-FIREARM,,,,U-UNKNOWN,
1997,Walton,Walton County Sheriffs Office" "97064501" 1 "1/29/1997" "38" "F-FEMALE" "W-WHITE" "50" "M-MALE" "W-WHITE" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "S-SPOUSE" "Z-OTHER"
"1998" "Broward" "Coral Springs Police Department" "198013154" 1 "11/22/1998" "15" "F-FEMALE" "W-WHITE" "62" "M-MALE" "W-WHITE" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "C-CHILD" "Z-OTHER"
"1998" "Broward" "Coral Springs Police Department" "198013154" 2 "" "12" "M-MALE" "W-WHITE" "" "" "" "4-FIREARM" "" "" "" "C-CHILD" ""
"1998" "Broward" "Wilton Manors Police Department" "98003899" 1 "5/2/1998" "31" "M-MALE" "W-WHITE" "30" "M-MALE" "B-BLACK" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "E-MULTIPLE VICTIMS / MULTIPLE OFFENDERS" "Z-OTHER" "F-OTHER FELONY INVOLVED"
"1998" "Broward" "Wilton Manors Police Department" "98003899" 2 "" "19" "M-MALE" "W-WHITE" "30" "M-MALE" "B-BLACK" "4-FIREARM" "" "" "" "Z-OTHER" ""
"1998" "Hillsborough" "Tampa Police Department" "98000038473" 1 "5/19/1998" "46" "M-MALE" "W-WHITE" "30" "M-MALE" "W-WHITE" "1-HANDGUN" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "Z-OTHER" "F-OTHER FELONY INVOLVED"
"1998" "Hillsborough" "Tampa Police Department" "98000038473" 2 "5/19/1998" "44" "M-MALE" "W-WHITE" "" "" "" "1-HANDGUN" "" "" "" "Z-OTHER" ""
"1998" "Levy" "Levy County Sheriffs Office,98-04631,1,10/30/1998,42,M-MALE,W-WHITE,28,M-MALE,W-WHITE,2-RIFLE,1-NOT APPLICABLE,1-NOT APPLICABLE,A-SINGLE VICTIM / SINGLE OFFENDER,U-UNKNOWN,A-DRINKING ARGUMENT
1998,Liberty,FHP - Liberty Co,983201584,1,6/5/1998,23,F-FEMALE,W-WHITE,29,M-MALE,W-WHITE,99-OTHER,1-NOT APPLICABLE,1-NOT APPLICABLE,A-SINGLE VICTIM / SINGLE OFFENDER,Z-OTHER,5-VEHICULAR NEGLIGENCE
1998,Manatee,Bradenton Police Department,98002221,1,1/19/1998,19,F-FEMALE,B-BLACK,22,F-FEMALE,B-BLACK,5-KNIFE/CUTTING INSTR,1-NOT APPLICABLE,1-NOT APPLICABLE,A-SINGLE VICTIM / SINGLE OFFENDER,U-UNKNOWN,Z-OTHER
1998,Manatee,Bradenton Police Department,98004160,1,2/4/1998,24,M-MALE,B-BLACK,23,M-MALE,B-BLACK,1-HANDGUN,1-NOT APPLICABLE,1-NOT APPLICABLE,B-SINGLE VICTIM / MULTIPLE OFFENDERS,Z-OTHER,Z-OTHER
1998,Manatee,Bradenton Police Department,98004160,2,,,,,23,M-MALE,B-BLACK,0-N/A,,,,Z-OTHER,
1998,Manatee,Bradenton Police Department,98004160,3,,,,,21,M-MALE,B-BLACK,0-N/A,,,,Z-OTHER,
1998,Manatee,Bradenton Police Department,98004160,4,,,,,24,M-MALE,B-BLACK,0-N/A,,,,Z-OTHER,
1998,Manatee,Bradenton Police Department,98029422,1,8/24/1998,20,M-MALE,W-WHITE,UK,U-UNKNOWN,U-UNKNOWN,1-HANDGUN,1-NOT APPLICABLE,1-NOT APPLICABLE,C-SINGLE VICTIM / UNKNOWN OFFENDER(S),U-UNKNOWN,U-UNKNOWN
1998,Manatee,FHP - Bradenton,980306834,1,5/21/1998,44,M-MALE,W-WHITE,49,M-MALE,W-WHITE,99-OTHER,1-NOT APPLICABLE,1-NOT APPLICABLE,D-MULTIPLE VICTIMS / SINGLE OFFENDER,U-UNKNOWN,5-VEHICULAR NEGLIGENCE
1998,Manatee,FHP - Bradenton,980306834,2,,47,F-FEMALE,W-WHITE,,,,99-OTHER,,,,U-UNKNOWN,
1998,Manatee,Manatee County Sheriffs Office" "9800009705" 1 "3/16/1998" "27" "M-MALE" "W-WHITE" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "F-MULTIPLE VICTIMS / UNKNOWN OFFENDER(S)" "U-UNKNOWN" "D-DRUG RELATED ARGUMENT"
"1998" "Manatee" "Manatee County Sheriffs Office,9800009705,2,,26,M-MALE,W-WHITE,UK,U-UNKNOWN,U-UNKNOWN,4-FIREARM,,,,U-UNKNOWN,
1998,Manatee,Manatee County Sheriffs Office" "9800009705" 3 "" "32" "M-MALE" "W-WHITE" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "" "" "" "U-UNKNOWN" ""
"1998" "Marion" "Marion County Sheriffs Office,9801401,1,1/13/1998,46,M-MALE,B-BLACK,14,M-MALE,B-BLACK,1-HANDGUN,1-NOT APPLICABLE,1-NOT APPLICABLE,D-MULTIPLE VICTIMS / SINGLE OFFENDER,H=CO-HABITANT,Z-OTHER
1998,Marion,Marion County Sheriffs Office" "9801401" 2 "" "43" "F-FEMALE" "B-BLACK" "" "" "" "1-HANDGUN" "" "" "" "P-PARENT" ""
"1998" "Marion" "Marion County Sheriffs Office,9826953,1,8/13/1998,18,F-FEMALE,B-BLACK,24,M-MALE,B-BLACK,1-HANDGUN,1-NOT APPLICABLE,1-NOT APPLICABLE,A-SINGLE VICTIM / SINGLE OFFENDER,U-UNKNOWN,F-OTHER FELONY INVOLVED
1998,Marion,Marion County Sheriffs Office" "9837992" 1 "10/30/1998" "43" "F-FEMALE" "W-WHITE" "55" "M-MALE" "W-WHITE" "1-HANDGUN" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "S-SPOUSE" "L-LOVERS QUARREL"
"1998" "Miami-Dade" "Hialeah Police Department" "98-009818" 1 "3/6/1998" "70" "M-MALE" "W-WHITE" "57" "M-MALE" "W-WHITE" "1-HANDGUN" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "Z-OTHER" "Z-OTHER"
"1998" "Miami-Dade" "Hialeah Police Department" "98-009818" 2 "3/6/1998" "49" "M-MALE" "W-WHITE" "" "" "" "1-HANDGUN" "" "" "" "Z-OTHER" ""
"1998" "Miami-Dade" "Miami Police Department" "0322003X" 1 "2/1/1998" "20" "M-MALE" "B-BLACK" "UK" "U-UNKNOWN" "U-UNKNOWN" "1-HANDGUN" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "U-UNKNOWN" "U-UNKNOWN"
"1998" "Miami-Dade" "Miami Police Department" "0322003X" 2 "" "19" "M-MALE" "B-BLACK" "" "" "" "1-HANDGUN" "" "" "" "U-UNKNOWN" ""
"1998" "Miami-Dade" "Miami Police Department" "0871507X" 1 "3/27/1998" "27" "M-MALE" "B-BLACK" "33" "M-MALE" "B-BLACK" "1-HANDGUN" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "Z-OTHER" "Z-OTHER"
"1998" "Miami-Dade" "Miami Police Department" "0871507X" 2 "" "15" "M-MALE" "B-BLACK" "" "" "" "1-HANDGUN" "" "" "" "Z-OTHER" ""
"1998" "Miami-Dade" "Miami Police Department" "3111257X" 1 "11/7/1998" "28" "M-MALE" "B-BLACK" "UK" "U-UNKNOWN" "U-UNKNOWN" "1-HANDGUN" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "F-MULTIPLE VICTIMS / UNKNOWN OFFENDER(S)" "U-UNKNOWN" "D-DRUG RELATED ARGUMENT"
"1998" "Miami-Dade" "Miami Police Department" "3111257X" 2 "" "45" "M-MALE" "B-BLACK" "" "" "" "1-HANDGUN" "" "" "" "U-UNKNOWN" ""
"1998" "Miami-Dade" "Miami Police Department" "3111257X" 3 "" "27" "M-MALE" "B-BLACK" "" "" "" "1-HANDGUN" "" "" "" "U-UNKNOWN" ""
"1998" "Miami-Dade" "Miami-Dade Police Department" "0020621V00" 1 "1/12/1998" "24" "M-MALE" "B-BLACK" "UK" "U-UNKNOWN" "U-UNKNOWN" "1-HANDGUN" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "F-MULTIPLE VICTIMS / UNKNOWN OFFENDER(S)" "U-UNKNOWN" "U-UNKNOWN"
"1998" "Miami-Dade" "Miami-Dade Police Department" "0020621V00" 2 "" "24" "M-MALE" "B-BLACK" "" "" "" "1-HANDGUN" "" "" "" "U-UNKNOWN" ""
"1998" "Miami-Dade" "Miami-Dade Police Department" "0021532V00" 1 "1/13/1998" "42" "M-MALE" "W-WHITE" "42" "M-MALE" "W-WHITE" "2-RIFLE" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "U-UNKNOWN" "U-UNKNOWN"
"1998" "Miami-Dade" "Miami-Dade Police Department" "0021532V00" 2 "" "30" "M-MALE" "W-WHITE" "" "" "" "2-RIFLE" "" "" "" "U-UNKNOWN" ""
"1998" "Miami-Dade" "Miami-Dade Police Department" "0177559V00" 1 "4/9/1998" "39" "M-MALE" "B-BLACK" "UK" "U-UNKNOWN" "U-UNKNOWN" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "F-MULTIPLE VICTIMS / UNKNOWN OFFENDER(S)" "U-UNKNOWN" "U-UNKNOWN"
"1998" "Miami-Dade" "Miami-Dade Police Department" "0177559V00" 2 "" "46" "M-MALE" "B-BLACK" "" "" "" "4-FIREARM" "" "" "" "U-UNKNOWN" ""
"1998" "Miami-Dade" "Miami-Dade Police Department" "0208746V00" 1 "4/24/1998" "69" "M-MALE" "W-WHITE" "38" "M-MALE" "W-WHITE" "3-SHOTGUN" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "P-PARENT" "U-UNKNOWN"
"1998" "Miami-Dade" "Miami-Dade Police Department" "0208746V00" 2 "" "68" "F-FEMALE" "W-WHITE" "" "" "" "3-SHOTGUN" "" "" "" "P-PARENT" ""
"1998" "Miami-Dade" "North Miami Police Department" "9833713" 1 "10/6/1998" "26" "M-MALE" "B-BLACK" "31" "M-MALE" "B-BLACK" "1-HANDGUN" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "E-MULTIPLE VICTIMS / MULTIPLE OFFENDERS" "U-UNKNOWN" "U-UNKNOWN"
"1998" "Miami-Dade" "North Miami Police Department" "9833713" 2 "" "26" "M-MALE" "B-BLACK" "22" "M-MALE" "B-BLACK" "1-HANDGUN" "" "" "" "U-UNKNOWN" ""
"1998" "Miami-Dade" "Opa-Locka Police Department" "15359-98" 1 "10/18/1998" "42" "M-MALE" "B-BLACK" "UK" "M-MALE" "B-BLACK" "4-FIREARM" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "U-UNKNOWN" "U-UNKNOWN"
"1998" "Miami-Dade" "Opa-Locka Police Department" "15359-98" 2 "" "25" "M-MALE" "B-BLACK" "" "" "" "4-FIREARM" "" "" "" "U-UNKNOWN" ""
"1998" "Monroe" "Monroe County Sheriffs Office,98110179,1,8/7/1998,27,F-FEMALE,W-WHITE,40,M-MALE,W-WHITE,1-HANDGUN,1-NOT APPLICABLE,1-NOT APPLICABLE,D-MULTIPLE VICTIMS / SINGLE OFFENDER,H=CO-HABITANT,L-LOVERS QUARREL
1998,Monroe,Monroe County Sheriffs Office" "98110179" 2 "" "20" "M-MALE" "W-WHITE" "" "" "" "1-HANDGUN" "" "" "" "Z-OTHER" ""
"1998" "Okaloosa" "Okaloosa County Sheriffs Office,9821764,1,5/15/1998,71,F-FEMALE,W-WHITE,UK,U-UNKNOWN,U-UNKNOWN,88-UNKNOWN,1-NOT APPLICABLE,1-NOT APPLICABLE,C-SINGLE VICTIM / UNKNOWN OFFENDER(S),U-UNKNOWN,U-UNKNOWN
1998,Okaloosa,Okaloosa County Sheriffs Office" "9843339" 1 "9/11/1998" "32" "F-FEMALE" "W-WHITE" "36" "M-MALE" "W-WHITE" "3-SHOTGUN" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "D-MULTIPLE VICTIMS / SINGLE OFFENDER" "H=CO-HABITANT" "L-LOVERS QUARREL"
"1998" "Okaloosa" "Okaloosa County Sheriffs Office,9843339,2,,9,M-MALE,W-WHITE,,,,3-SHOTGUN,,,,H=CO-HABITANT,
1998,Okaloosa,Okaloosa County Sheriffs Office" "9843339" 3 "" "6" "F-FEMALE" "W-WHITE" "" "" "" "3-SHOTGUN" "" "" "" "H=CO-HABITANT" ""
"1998" "Orange" "Orlando Police Department" "980000203666" 1 "5/27/1998" "21" "M-MALE" "B-BLACK" "25" "M-MALE" "B-BLACK" "1-HANDGUN" "1-NOT APPLICABLE" "1-NOT APPLICABLE" "E-MULTIPLE VICTIMS / MULTIPLE OFFENDERS" "Z-OTHER" "Z-OTHER"
"1998" "Orange" "Orlando Police Department" "980000203666" 2 "" "6" "F-FEMALE" "B-BLACK" "22" "M-MALE" "B-BLACK" "1-HANDGUN" "" "" "" "Z-OTHER" ""
